Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
7740,0.00049,0.01234,14.02,2,0,0
8500,0.0005,0.01,14.5,2,0,0
8570,0.00081,0.0097,14.2,2,1,0
8052,8.7,1.8,2.42,3,2,0
8930,0.00056,0.0095,13.78,2,0,0
9675,0.00045,0.0109,13.98,2,1,0
9030,45,2.63,1.45,3,1,0
11250,672,6.98,-2.3,3,1,0
12098,689,7.01,0.02,3,1,0
8924,0.00028,0.00879,14.87,2,1,0
7723,0.00014,0.00878,14.81,2,0,0
8945,38,2.487,0.12,3,1,0
14060,1092,5.745,-2.04,3,1,0
13023,998,6.21,-1.38,3,1,0
10012,552,5.856,0.013,3,1,0
13089,788,5.992,-0.12,3,1,0
9320,29,1.91,1.236,3,1,0
8829,537493,1423,-10.73,5,0,0
9235,404940,1112,-11.23,5,0,0
25000,0.056,0.0084,10.58,2,1,1
16500,0.013,0.014,11.89,2,1,1
30000,28840,6.3,-4.2,3,1,1
15276,1136,7.2,-1.97,3,1,1
9700,74,2.89,0.16,3,2,1
33750,220000,26,-6.1,4,3,1
17200,0.00098,0.015,12.45,2,1,1
14100,0.00067,0.0089,12.17,2,1,1
12010,0.00078,0.0092,12.13,2,1,1
10980,0.00074,0.0087,11.19,2,1,1
19860,0.0011,0.0131,11.34,2,3,1
33300,240000,12,-6.5,4,3,1
13420,0.00059,0.00981,13.67,2,1,1
21020,0.0015,0.0112,11.52,2,3,1
18290,0.0013,0.00934,12.78,2,3,1
14520,0.00082,0.00972,11.92,2,1,1
11900,0.00067,0.00898,11.38,2,1,1
12912,0.00071,0.00945,12.83,2,1,1
12984,0.00088,0.00996,11.23,2,1,1
29560,188000,6.02,-4.01,3,1,1
16390,1278,5.68,-3.32,3,1,1
25070,14500,5.92,-3.98,3,1,1
28700,16790,6.4,-4.09,3,1,1
26140,14520,5.49,-3.8,3,1,1
20120,4720,6.78,-3.4,3,1,1
26000,316000,1679,-9.1,5,3,1
11000,170000,1779,-9.9,5,1,1
12100,120000,708.9,-7.84,5,1,1
24490,248490,1134.5,-8.24,5,1,1
16790,0.0014,0.0121,12.87,2,3,1
15680,0.00122,0.0114,11.92,2,3,1
14982,0.00118,0.0113,12.23,2,3,1
13340,0.00109,0.0116,12.9,2,3,1
18340,0.00134,0.0124,11.22,2,3,1
19920,0.00156,0.0142,11.34,2,3,1
24020,0.00159,0.0127,10.55,2,3,1
23092,0.00132,0.0104,10.18,2,3,1
17920,0.00111,0.0106,11.66,2,3,1
19360,0.00125,0.00998,11.62,2,3,1
22350,12450,6.36,-3.67,3,1,1
22012,6748,6.64,-2.55,3,1,1
19400,10920,6.03,-3.08,3,1,1
17140,883,5.653,-2.64,3,1,1
24145,382993,1494,-8.84,5,1,1
27739,849420,1252,-7.59,5,1,1
21904,748490,1130,-7.67,5,1,1
7220,0.00017,0.011,14.23,2,0,2
12990,0.000085,0.00984,12.23,2,4,2
7700,0.00011,0.0128,14.47,2,4,2
11790,0.00015,0.011,12.59,2,4,2
7230,0.00008,0.013,14.08,2,5,2
5800,0.81,0.9,5.05,3,6,2
6757,1.43,1.12,2.41,3,6,2
6380,1.35,0.98,2.93,3,6,2
5936,1.357,1.106,4.46,3,6,2
5587,0.819,0.99,5.03,3,6,2
7100,0.00029,0.012,14.09,2,7,2
10574,0.00014,0.0092,12.02,2,0,2
13720,0.00018,0.00892,12.97,2,0,2
5300,0.59,0.91,5.49,3,6,2
7720,7.92,1.34,2.44,3,6,2
14732,0.00011,0.00892,12.89,2,0,2
8250,9.25,1.93,-0.98,3,6,2
6850,229000,1467,-10.07,5,8,3
4526,0.153,0.865,6.506,3,9,4
4077,0.085,0.795,6.228,3,9,4
4980,0.357,1.13,4.78,3,9,4
5112,0.63,0.876,4.68,3,10,4
4015,282000,1534,-11.39,5,8,4
